Sample,ko,pathname,genesymbol
E7,K00128,Cl. alkane and Cl.alkene,ALDH
E7,K00626,Benzoate,ACAT
E7,K01800,Styrene,maiA
E7,K01782,Benzoate,fadJ
E7,K01782,Caprolactam,fadJ
E7,K00481,Aromatic,pobA
E7,K00481,Benzoate,pobA
E7,K01075,Benzoate,E3.1.2.23
E7,K01501,Styrene,E3.5.5.1
E7,K01501,Aminobenzoate,E3.5.5.1
E7,K00799,Cytochrome P450,GST
E7,K05784,Xylene,benC-xylZ
E7,K05784,Benzoate,benC-xylZ
E7,K05784,Aromatic,benC-xylZ
E7,K05784,Fluorobenzoate,benC-xylZ
E7,K05710,Aromatic,hcaC
E7,K05599,Aminobenzoate,antA
E7,K03863,Aminobenzoate,vanB
E7,K00001,Naphthalene,E1.1.1.1
E7,K00001,Cytochrome P450,E1.1.1.1
E7,K00001,Aromatic,E1.1.1.1
E7,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
E7,K00074,Benzoate,paaH
E7,K00121,Aromatic,frmA
E7,K00121,Naphthalene,frmA
E7,K00121,Cytochrome P450,frmA
E7,K00121,Cl. alkane and Cl.alkene,frmA
E7,K00252,Benzoate,GCDH
E7,K00448,PAH,pcaG
E7,K00448,Aromatic,pcaG
E7,K00448,Benzoate,pcaG
E7,K00449,PAH,pcaH
E7,K00449,Aromatic,pcaH
E7,K00449,Benzoate,pcaH
E7,K00496,Caprolactam,alkB1_2
E7,K00529,Aromatic,hcaD
E7,K00632,Benzoate,fadA
E7,K00632,Ethylbenzene,fadA
E7,K01032,Benzoate,pcaJ
E7,K01055,Benzoate,pcaD
E7,K01055,Aromatic,pcaD
E7,K01061,Toluene,E3.1.1.45
E7,K01061,Fluorobenzoate,E3.1.1.45
E7,K01061,Cl. cyclohexane and Cl. benzene,E3.1.1.45
E7,K01426,Aminobenzoate,E3.5.1.4
E7,K01426,Styrene,E3.5.1.4
E7,K01428,Atrazine,ureC
E7,K01429,Atrazine,ureB
E7,K01430,Atrazine,ureA
E7,K01457,Atrazine,atzF
E7,K01555,Styrene,FAH
E7,K01607,Benzoate,pcaC
E7,K01607,Aromatic,pcaC
E7,K01692,Benzoate,paaF
E7,K01692,Aminobenzoate,paaF
E7,K01692,Caprolactam,paaF
E7,K01826,Aromatic,hpaF
E7,K01856,Fluorobenzoate,catB
E7,K01856,Benzoate,catB
E7,K01856,Aromatic,catB
E7,K01856,Cl. cyclohexane and Cl. benzene,catB
E7,K01856,Toluene,catB
E7,K01857,Aromatic,pcaB
E7,K01857,Benzoate,pcaB
E7,K01941,Atrazine,uca
E7,K03333,Steroid,choD
E7,K03379,Aromatic,chnB
E7,K03379,Caprolactam,chnB
E7,K03381,Cl. cyclohexane and Cl. benzene,catA
E7,K03381,Toluene,catA
E7,K03381,Benzoate,catA
E7,K03381,Fluorobenzoate,catA
E7,K03381,Aromatic,catA
E7,K03464,Aromatic,catC
E7,K03464,Benzoate,catC
E7,K03862,Aminobenzoate,vanA
E7,K05549,Fluorobenzoate,benA-xylX
E7,K05549,Aromatic,benA-xylX
E7,K05549,Xylene,benA-xylX
E7,K05549,Benzoate,benA-xylX
E7,K05550,Benzoate,benB-xylY
E7,K05550,Fluorobenzoate,benB-xylY
E7,K05550,Xylene,benB-xylY
E7,K05550,Aromatic,benB-xylY
E7,K05600,Aminobenzoate,antB
E7,K05783,Aromatic,benD-xylL
E7,K05783,Benzoate,benD-xylL
E7,K05783,Xylene,benD-xylL
E7,K05783,Fluorobenzoate,benD-xylL
E7,K06446,Caprolactam,DCAA
E7,K10679,Nitrotoluene,nfnB
E7,K10680,Nitrotoluene,nemA
E7,K11311,Aminobenzoate,antC
E7,K13954,Naphthalene,yiaY
E7,K13954,Aromatic,yiaY
E7,K13954,Cl. alkane and Cl.alkene,yiaY
E7,K14731,Aromatic,mlhB
E7,K14731,Caprolactam,mlhB
E7,K16242,Aromatic,dmpN
E7,K16242,Benzoate,dmpN
E7,K16242,Cl. cyclohexane and Cl. benzene,dmpN
E7,K16242,Toluene,dmpN
E7,K16243,Aromatic,dmpL
E7,K16243,Cl. cyclohexane and Cl. benzene,dmpL
E7,K16243,Toluene,dmpL
E7,K16243,Benzoate,dmpL
E7,K16244,Toluene,dmpM
E7,K16244,Benzoate,dmpM
E7,K16244,Cl. cyclohexane and Cl. benzene,dmpM
E7,K16244,Aromatic,dmpM
E7,K16245,Benzoate,dmpO
E7,K16245,Cl. cyclohexane and Cl. benzene,dmpO
E7,K16245,Aromatic,dmpO
E7,K16245,Toluene,dmpO
E7,K16249,Cl. cyclohexane and Cl. benzene,dmpK
E7,K16249,Aromatic,dmpK
E7,K16249,Benzoate,dmpK
E7,K16249,Toluene,dmpK
E7,K18242,Naphthalene,nagG
E7,K21105,PAH,E3.1.1.102
E7,K21802,Aminobenzoate,vdh
E7,K01031,Benzoate,pcaI
E7,K07823,Benzoate,pcaF
E7,K16161,Aromatic,mmoC
E7,K00146,Styrene,feaB
E7,K01825,Caprolactam,fadB
E7,K01825,Benzoate,fadB
E7,K05712,Aromatic,mhpA
E7,K10617,Xylene,cymB
E7,K10617,Aromatic,cymB
E7,K14581,Nitrotoluene,nahAa
E7,K14581,Aminobenzoate,nahAa
E7,K14581,Ethylbenzene,nahAa
E7,K14581,Naphthalene,nahAa
E7,K14581,PAH,nahAa
E7,K14581,Aromatic,nahAa
E7,K16246,Cl. cyclohexane and Cl. benzene,dmpP
E7,K16246,Toluene,dmpP
E7,K16246,Aromatic,dmpP
E7,K16246,Benzoate,dmpP
E7,K18248,Aminobenzoate,andAb
AP1BH01-1,K00001,Naphthalene,E1.1.1.1
AP1BH01-1,K00001,Cytochrome P450,E1.1.1.1
AP1BH01-1,K00001,Aromatic,E1.1.1.1
AP1BH01-1,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
AP1BH01-1,K00128,Cl. alkane and Cl.alkene,ALDH
AP1BH01-1,K00626,Benzoate,ACAT
AP1BH01-1,K01426,Aminobenzoate,E3.5.1.4
AP1BH01-1,K01426,Styrene,E3.5.1.4
AP1BH01-1,K01692,Benzoate,paaF
AP1BH01-1,K01692,Aminobenzoate,paaF
AP1BH01-1,K01692,Caprolactam,paaF
AP1BH01-1,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
AP1BH01-1,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
AP1BH01-1,K01501,Styrene,E3.5.5.1
AP1BH01-1,K01501,Aminobenzoate,E3.5.5.1
AP1BH01-1,K01430,Atrazine,ureA
AP1BH01-1,K01053,Aromatic,gnl
AP1BH01-1,K01053,Caprolactam,gnl
AP1BH01-1,K01055,Benzoate,pcaD
AP1BH01-1,K01055,Aromatic,pcaD
AP1BH01-1,K00141,Aromatic,xylC
AP1BH01-1,K00141,Toluene,xylC
AP1BH01-1,K00141,Aminobenzoate,xylC
AP1BH01-1,K00141,Xylene,xylC
AP1BH01-1,K00074,Benzoate,paaH
AP1BH01-1,K00121,Aromatic,frmA
AP1BH01-1,K00121,Naphthalene,frmA
AP1BH01-1,K00121,Cytochrome P450,frmA
AP1BH01-1,K00121,Cl. alkane and Cl.alkene,frmA
AP1BH01-1,K00148,Cl. alkane and Cl.alkene,fdhA
AP1BH01-1,K00252,Benzoate,GCDH
AP1BH01-1,K00448,PAH,pcaG
AP1BH01-1,K00448,Aromatic,pcaG
AP1BH01-1,K00448,Benzoate,pcaG
AP1BH01-1,K00449,PAH,pcaH
AP1BH01-1,K00449,Aromatic,pcaH
AP1BH01-1,K00449,Benzoate,pcaH
AP1BH01-1,K00480,Aromatic,E1.14.13.1
AP1BH01-1,K00480,Dioxin,E1.14.13.1
AP1BH01-1,K00480,Naphthalene,E1.14.13.1
AP1BH01-1,K00480,PAH,E1.14.13.1
AP1BH01-1,K00481,Aromatic,pobA
AP1BH01-1,K00481,Benzoate,pobA
AP1BH01-1,K00529,Aromatic,hcaD
AP1BH01-1,K00799,Cytochrome P450,GST
AP1BH01-1,K01026,Styrene,pct
AP1BH01-1,K01031,Benzoate,pcaI
AP1BH01-1,K01032,Benzoate,pcaJ
AP1BH01-1,K01061,Toluene,E3.1.1.45
AP1BH01-1,K01061,Fluorobenzoate,E3.1.1.45
AP1BH01-1,K01061,Cl. cyclohexane and Cl. benzene,E3.1.1.45
AP1BH01-1,K01428,Atrazine,ureC
AP1BH01-1,K01429,Atrazine,ureB
AP1BH01-1,K01607,Benzoate,pcaC
AP1BH01-1,K01607,Aromatic,pcaC
AP1BH01-1,K01782,Benzoate,fadJ
AP1BH01-1,K01782,Caprolactam,fadJ
AP1BH01-1,K01826,Aromatic,hpaF
AP1BH01-1,K01857,Aromatic,pcaB
AP1BH01-1,K01857,Benzoate,pcaB
AP1BH01-1,K03186,Aromatic,ubiX
AP1BH01-1,K03186,Aminobenzoate,ubiX
AP1BH01-1,K05797,Toluene,pchF
AP1BH01-1,K07104,Benzoate,catE
AP1BH01-1,K07104,Xylene,catE
AP1BH01-1,K07104,Aromatic,catE
AP1BH01-1,K07104,Styrene,catE
AP1BH01-1,K07104,Cl. cyclohexane and Cl. benzene,catE
AP1BH01-1,K10680,Nitrotoluene,nemA
AP1BH01-1,K13953,Aromatic,adhP
AP1BH01-1,K13953,Naphthalene,adhP
AP1BH01-1,K13953,Cytochrome P450,adhP
AP1BH01-1,K13953,Cl. alkane and Cl.alkene,adhP
AP1BH01-1,K16048,Steroid,hsaB
AP1BH01-1,K07823,Benzoate,pcaF
AP1BH01-1,K00632,Benzoate,fadA
AP1BH01-1,K00632,Ethylbenzene,fadA
AP1BH01-1,K14048,Atrazine,ureAB
AP1BH01-1,K14581,Nitrotoluene,nahAa
AP1BH01-1,K14581,Aminobenzoate,nahAa
AP1BH01-1,K14581,Ethylbenzene,nahAa
AP1BH01-1,K14581,Naphthalene,nahAa
AP1BH01-1,K14581,PAH,nahAa
AP1BH01-1,K14581,Aromatic,nahAa
AP1BH01-1,K14727,Benzoate,pcaL
AP1BH01-1,K14727,Aromatic,pcaL
AP1BH01-1,K21802,Aminobenzoate,vdh
BD1,K00626,Benzoate,ACAT
BD1,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
BD1,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
BD1,K01075,Benzoate,E3.1.2.23
BD1,K00001,Naphthalene,E1.1.1.1
BD1,K00001,Cytochrome P450,E1.1.1.1
BD1,K00001,Aromatic,E1.1.1.1
BD1,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
BD1,K01430,Atrazine,ureA
BD1,K00074,Benzoate,paaH
BD1,K00148,Cl. alkane and Cl.alkene,fdhA
BD1,K00252,Benzoate,GCDH
BD1,K00446,Benzoate,dmpB
BD1,K00446,Aromatic,dmpB
BD1,K00446,Xylene,dmpB
BD1,K00446,Styrene,dmpB
BD1,K00446,Cl. cyclohexane and Cl. benzene,dmpB
BD1,K01426,Aminobenzoate,E3.5.1.4
BD1,K01426,Styrene,E3.5.1.4
BD1,K01428,Atrazine,ureC
BD1,K01512,Aminobenzoate,acyP
BD1,K01692,Benzoate,paaF
BD1,K01692,Aminobenzoate,paaF
BD1,K01692,Caprolactam,paaF
BD1,K01782,Benzoate,fadJ
BD1,K01782,Caprolactam,fadJ
BD1,K03333,Steroid,choD
BD1,K05710,Aromatic,hcaC
BD1,K05921,Aromatic,hpaG
BD1,K10215,Aminobenzoate,ethA
BD1,K13953,Aromatic,adhP
BD1,K13953,Naphthalene,adhP
BD1,K13953,Cytochrome P450,adhP
BD1,K13953,Cl. alkane and Cl.alkene,adhP
BD1,K00151,Aromatic,hpaE
BD1,K00632,Benzoate,fadA
BD1,K00632,Ethylbenzene,fadA
BD1,K14048,Atrazine,ureAB
BD5,K00626,Benzoate,ACAT
BD5,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
BD5,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
BD5,K01075,Benzoate,E3.1.2.23
BD5,K00001,Naphthalene,E1.1.1.1
BD5,K00001,Cytochrome P450,E1.1.1.1
BD5,K00001,Aromatic,E1.1.1.1
BD5,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
BD5,K01430,Atrazine,ureA
BD5,K00074,Benzoate,paaH
BD5,K00148,Cl. alkane and Cl.alkene,fdhA
BD5,K00252,Benzoate,GCDH
BD5,K00446,Benzoate,dmpB
BD5,K00446,Aromatic,dmpB
BD5,K00446,Xylene,dmpB
BD5,K00446,Styrene,dmpB
BD5,K00446,Cl. cyclohexane and Cl. benzene,dmpB
BD5,K01426,Aminobenzoate,E3.5.1.4
BD5,K01426,Styrene,E3.5.1.4
BD5,K01428,Atrazine,ureC
BD5,K01512,Aminobenzoate,acyP
BD5,K01692,Benzoate,paaF
BD5,K01692,Aminobenzoate,paaF
BD5,K01692,Caprolactam,paaF
BD5,K01782,Benzoate,fadJ
BD5,K01782,Caprolactam,fadJ
BD5,K03333,Steroid,choD
BD5,K05710,Aromatic,hcaC
BD5,K05921,Aromatic,hpaG
BD5,K10215,Aminobenzoate,ethA
BD5,K13953,Aromatic,adhP
BD5,K13953,Naphthalene,adhP
BD5,K13953,Cytochrome P450,adhP
BD5,K13953,Cl. alkane and Cl.alkene,adhP
BD5,K00151,Aromatic,hpaE
BD5,K00632,Benzoate,fadA
BD5,K00632,Ethylbenzene,fadA
BD5,K14048,Atrazine,ureAB
BD8,K00626,Benzoate,ACAT
BD8,K01430,Atrazine,ureA
BD8,K01607,Benzoate,pcaC
BD8,K01607,Aromatic,pcaC
BD8,K16045,Steroid,hsd
BD8,K00001,Naphthalene,E1.1.1.1
BD8,K00001,Cytochrome P450,E1.1.1.1
BD8,K00001,Aromatic,E1.1.1.1
BD8,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
BD8,K00074,Benzoate,paaH
BD8,K00146,Styrene,feaB
BD8,K00151,Aromatic,hpaE
BD8,K00252,Benzoate,GCDH
BD8,K00448,PAH,pcaG
BD8,K00448,Aromatic,pcaG
BD8,K00448,Benzoate,pcaG
BD8,K00449,PAH,pcaH
BD8,K00449,Aromatic,pcaH
BD8,K00449,Benzoate,pcaH
BD8,K01031,Benzoate,pcaI
BD8,K01426,Aminobenzoate,E3.5.1.4
BD8,K01426,Styrene,E3.5.1.4
BD8,K01428,Atrazine,ureC
BD8,K01429,Atrazine,ureB
BD8,K01512,Aminobenzoate,acyP
BD8,K01692,Benzoate,paaF
BD8,K01692,Aminobenzoate,paaF
BD8,K01692,Caprolactam,paaF
BD8,K01782,Benzoate,fadJ
BD8,K01782,Caprolactam,fadJ
BD8,K01857,Aromatic,pcaB
BD8,K01857,Benzoate,pcaB
BD8,K03333,Steroid,choD
BD8,K03380,Toluene,E1.14.13.7
BD8,K03380,Aminobenzoate,E1.14.13.7
BD8,K10680,Nitrotoluene,nemA
BD8,K13953,Aromatic,adhP
BD8,K13953,Naphthalene,adhP
BD8,K13953,Cytochrome P450,adhP
BD8,K13953,Cl. alkane and Cl.alkene,adhP
BD8,K00632,Benzoate,fadA
BD8,K00632,Ethylbenzene,fadA
BD8,K01032,Benzoate,pcaJ
BD8,K14048,Atrazine,ureAB
BD8,K14727,Benzoate,pcaL
BD8,K14727,Aromatic,pcaL
BD120,K00001,Naphthalene,E1.1.1.1
BD120,K00001,Cytochrome P450,E1.1.1.1
BD120,K00001,Aromatic,E1.1.1.1
BD120,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
BD120,K00074,Benzoate,paaH
BD120,K00121,Aromatic,frmA
BD120,K00121,Naphthalene,frmA
BD120,K00121,Cytochrome P450,frmA
BD120,K00121,Cl. alkane and Cl.alkene,frmA
BD120,K00148,Cl. alkane and Cl.alkene,fdhA
BD120,K00128,Cl. alkane and Cl.alkene,ALDH
BD120,K00146,Styrene,feaB
BD120,K21802,Aminobenzoate,vdh
BD120,K00483,Aromatic,hpaB
BD120,K00626,Benzoate,ACAT
BD120,K00632,Benzoate,fadA
BD120,K00632,Ethylbenzene,fadA
BD120,K01034,Aminobenzoate,atoD
BD120,K01035,Aminobenzoate,atoA
BD120,K01101,Aminobenzoate,E3.1.3.41
BD120,K01428,Atrazine,ureC
BD120,K01429,Atrazine,ureB
BD120,K01430,Atrazine,ureA
BD120,K01512,Aminobenzoate,acyP
BD120,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
BD120,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
BD120,K01563,Cl. cyclohexane and Cl. benzene,dhaA
BD120,K01563,Cl. alkane and Cl.alkene,dhaA
BD120,K01607,Benzoate,pcaC
BD120,K01607,Aromatic,pcaC
BD120,K01612,Aromatic,bsdC
BD120,K01612,Aminobenzoate,bsdC
BD120,K16874,Furfural,hmfF
BD120,K01821,Benzoate,praC
BD120,K01821,Dioxin,praC
BD120,K01821,Xylene,praC
BD120,K01821,Aromatic,praC
BD120,K03186,Aromatic,ubiX
BD120,K03186,Aminobenzoate,ubiX
BD120,K15765,Toluene,tmoF
BD120,K15765,Aromatic,tmoF
BD120,K07104,Benzoate,catE
BD120,K07104,Xylene,catE
BD120,K07104,Aromatic,catE
BD120,K07104,Styrene,catE
BD120,K07104,Cl. cyclohexane and Cl. benzene,catE
BD120,K07516,Benzoate,fadN
BD120,K10678,Nitrotoluene,nfsA
BD120,K13767,Benzoate,fadB
BD120,K14338,Aminobenzoate,cypD_E
BD120,K21759,Aromatic,bsdD
BD120,K21759,Aminobenzoate,bsdD
BD121,K00074,Benzoate,paaH
BD121,K00121,Aromatic,frmA
BD121,K00121,Naphthalene,frmA
BD121,K00121,Cytochrome P450,frmA
BD121,K00121,Cl. alkane and Cl.alkene,frmA
BD121,K00128,Cl. alkane and Cl.alkene,ALDH
BD121,K00146,Styrene,feaB
BD121,K21802,Aminobenzoate,vdh
BD121,K00455,Aromatic,hpaD
BD121,K00481,Aromatic,pobA
BD121,K00481,Benzoate,pobA
BD121,K00626,Benzoate,ACAT
BD121,K00632,Benzoate,fadA
BD121,K00632,Ethylbenzene,fadA
BD121,K01034,Aminobenzoate,atoD
BD121,K01035,Aminobenzoate,atoA
BD121,K01101,Aminobenzoate,E3.1.3.41
BD121,K01426,Aminobenzoate,E3.5.1.4
BD121,K01426,Styrene,E3.5.1.4
BD121,K01428,Atrazine,ureC
BD121,K01429,Atrazine,ureB
BD121,K01430,Atrazine,ureA
BD121,K01512,Aminobenzoate,acyP
BD121,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
BD121,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
BD121,K01612,Aromatic,bsdC
BD121,K01612,Aminobenzoate,bsdC
BD121,K16874,Furfural,hmfF
BD121,K01617,Xylene,dmpH
BD121,K01617,Aromatic,dmpH
BD121,K01617,Benzoate,dmpH
BD121,K01617,Dioxin,dmpH
BD121,K01821,Benzoate,praC
BD121,K01821,Dioxin,praC
BD121,K01821,Xylene,praC
BD121,K01821,Aromatic,praC
BD121,K03186,Aromatic,ubiX
BD121,K03186,Aminobenzoate,ubiX
BD121,K04072,Cl. alkane and Cl.alkene,adhE
BD121,K04072,Aromatic,adhE
BD121,K04072,Naphthalene,adhE
BD121,K15765,Toluene,tmoF
BD121,K15765,Aromatic,tmoF
BD121,K07104,Benzoate,catE
BD121,K07104,Xylene,catE
BD121,K07104,Aromatic,catE
BD121,K07104,Styrene,catE
BD121,K07104,Cl. cyclohexane and Cl. benzene,catE
BD121,K07516,Benzoate,fadN
BD121,K10217,Aromatic,dmpC
BD121,K10217,Benzoate,dmpC
BD121,K10217,Xylene,dmpC
BD121,K10218,Benzoate,ligK
BD121,K13767,Benzoate,fadB
BD121,K14338,Aminobenzoate,cypD_E
BD121,K21759,Aromatic,bsdD
BD121,K21759,Aminobenzoate,bsdD
BD126,K00001,Naphthalene,E1.1.1.1
BD126,K00001,Cytochrome P450,E1.1.1.1
BD126,K00001,Aromatic,E1.1.1.1
BD126,K00001,Cl. alkane and Cl.alkene,E1.1.1.1
BD126,K00074,Benzoate,paaH
BD126,K00121,Aromatic,frmA
BD126,K00121,Naphthalene,frmA
BD126,K00121,Cytochrome P450,frmA
BD126,K00121,Cl. alkane and Cl.alkene,frmA
BD126,K00148,Cl. alkane and Cl.alkene,fdhA
BD126,K00128,Cl. alkane and Cl.alkene,ALDH
BD126,K00146,Styrene,feaB
BD126,K21802,Aminobenzoate,vdh
BD126,K00483,Aromatic,hpaB
BD126,K00626,Benzoate,ACAT
BD126,K00632,Benzoate,fadA
BD126,K00632,Ethylbenzene,fadA
BD126,K01034,Aminobenzoate,atoD
BD126,K01035,Aminobenzoate,atoA
BD126,K01101,Aminobenzoate,E3.1.3.41
BD126,K01428,Atrazine,ureC
BD126,K01429,Atrazine,ureB
BD126,K01430,Atrazine,ureA
BD126,K01512,Aminobenzoate,acyP
BD126,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
BD126,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
BD126,K01563,Cl. cyclohexane and Cl. benzene,dhaA
BD126,K01563,Cl. alkane and Cl.alkene,dhaA
BD126,K01607,Benzoate,pcaC
BD126,K01607,Aromatic,pcaC
BD126,K01612,Aromatic,bsdC
BD126,K01612,Aminobenzoate,bsdC
BD126,K16874,Furfural,hmfF
BD126,K01821,Benzoate,praC
BD126,K01821,Dioxin,praC
BD126,K01821,Xylene,praC
BD126,K01821,Aromatic,praC
BD126,K03186,Aromatic,ubiX
BD126,K03186,Aminobenzoate,ubiX
BD126,K15765,Toluene,tmoF
BD126,K15765,Aromatic,tmoF
BD126,K07104,Benzoate,catE
BD126,K07104,Xylene,catE
BD126,K07104,Aromatic,catE
BD126,K07104,Styrene,catE
BD126,K07104,Cl. cyclohexane and Cl. benzene,catE
BD126,K07516,Benzoate,fadN
BD126,K10678,Nitrotoluene,nfsA
BD126,K13767,Benzoate,fadB
BD126,K14338,Aminobenzoate,cypD_E
BD126,K21759,Aromatic,bsdD
BD126,K21759,Aminobenzoate,bsdD
BD127,K07535,Benzoate,badH
BD127,K07535,Aromatic,badH
BD127,K10617,Xylene,cymB
BD127,K10617,Aromatic,cymB
BD127,K00074,Benzoate,paaH
BD127,K01782,Benzoate,fadJ
BD127,K01782,Caprolactam,fadJ
BD127,K00121,Aromatic,frmA
BD127,K00121,Naphthalene,frmA
BD127,K00121,Cytochrome P450,frmA
BD127,K00121,Cl. alkane and Cl.alkene,frmA
BD127,K00128,Cl. alkane and Cl.alkene,ALDH
BD127,K00146,Styrene,feaB
BD127,K00151,Aromatic,hpaE
BD127,K09461,Aminobenzoate,E1.14.13.40
BD127,K00252,Benzoate,GCDH
BD127,K00451,Styrene,HGD
BD127,K00455,Aromatic,hpaD
BD127,K00480,Aromatic,E1.14.13.1
BD127,K00480,Dioxin,E1.14.13.1
BD127,K00480,Naphthalene,E1.14.13.1
BD127,K00480,PAH,E1.14.13.1
BD127,K22270,Benzoate,nagX
BD127,K15511,Benzoate,boxA
BD127,K00529,Aromatic,hcaD
BD127,K00626,Benzoate,ACAT
BD127,K00632,Benzoate,fadA
BD127,K00632,Ethylbenzene,fadA
BD127,K00799,Cytochrome P450,GST
BD127,K01039,Styrene,gctA
BD127,K01031,Benzoate,pcaI
BD127,K01032,Benzoate,pcaJ
BD127,K01040,Styrene,gctB
BD127,K01053,Aromatic,gnl
BD127,K01053,Caprolactam,gnl
BD127,K01055,Benzoate,pcaD
BD127,K01055,Aromatic,pcaD
BD127,K01061,Toluene,E3.1.1.45
BD127,K01061,Fluorobenzoate,E3.1.1.45
BD127,K01061,Cl. cyclohexane and Cl. benzene,E3.1.1.45
BD127,K01075,Benzoate,E3.1.2.23
BD127,K01426,Aminobenzoate,E3.5.1.4
BD127,K01426,Styrene,E3.5.1.4
BD127,K01457,Atrazine,atzF
BD127,K01941,Atrazine,uca
BD127,K01501,Styrene,E3.5.5.1
BD127,K01501,Aminobenzoate,E3.5.5.1
BD127,K01502,Styrene,E3.5.5.7
BD127,K01512,Aminobenzoate,acyP
BD127,K01555,Styrene,FAH
BD127,K01561,Cl. cyclohexane and Cl. benzene,dehH
BD127,K01561,Cl. alkane and Cl.alkene,dehH
BD127,K01563,Cl. cyclohexane and Cl. benzene,dhaA
BD127,K01563,Cl. alkane and Cl.alkene,dhaA
BD127,K01607,Benzoate,pcaC
BD127,K01607,Aromatic,pcaC
BD127,K01692,Benzoate,paaF
BD127,K01692,Aminobenzoate,paaF
BD127,K01692,Caprolactam,paaF
BD127,K07534,Benzoate,badK
BD127,K07534,Aromatic,badK
BD127,K01857,Aromatic,pcaB
BD127,K01857,Benzoate,pcaB
BD127,K07516,Benzoate,fadN
BD127,K01800,Styrene,maiA
BD127,K01821,Benzoate,praC
BD127,K01821,Dioxin,praC
BD127,K01821,Xylene,praC
BD127,K01821,Aromatic,praC
BD127,K01826,Aromatic,hpaF
BD127,K01856,Fluorobenzoate,catB
BD127,K01856,Benzoate,catB
BD127,K01856,Aromatic,catB
BD127,K01856,Cl. cyclohexane and Cl. benzene,catB
BD127,K01856,Toluene,catB
BD127,K20712,Aminobenzoate,glnA
BD127,K19837,Atrazine,atzE
BD127,K03186,Aromatic,ubiX
BD127,K03186,Aminobenzoate,ubiX
BD127,K03464,Aromatic,catC
BD127,K03464,Benzoate,catC
BD127,K04110,Benzoate,badA
BD127,K04110,Aminobenzoate,badA
BD127,K05712,Aromatic,mhpA
BD127,K05921,Aromatic,hpaG
BD127,K06446,Caprolactam,DCAA
BD127,K07549,Toluene,bbsA
BD127,K07549,Aromatic,bbsA
BD127,K08295,Aminobenzoate,abmG
BD127,K10218,Benzoate,ligK
BD127,K10221,Aminobenzoate,ligI
BD127,K10221,Benzoate,ligI
BD127,K10680,Nitrotoluene,nemA
BD127,K13953,Aromatic,adhP
BD127,K13953,Naphthalene,adhP
BD127,K13953,Cytochrome P450,adhP
BD127,K13953,Cl. alkane and Cl.alkene,adhP
BD127,K19961,Aromatic,chnD
BD127,K19961,Caprolactam,chnD
BD127,K14578,Ethylbenzene,nahAb
BD127,K14578,Aminobenzoate,nahAb
BD127,K14578,Nitrotoluene,nahAb
BD127,K14578,PAH,nahAb
BD127,K14578,Aromatic,nahAb
BD127,K14578,Naphthalene,nahAb
BD127,K14748,Ethylbenzene,etbAa
BD127,K14748,Aromatic,etbAa
BD127,K15512,Benzoate,boxB
BD127,K15513,Benzoate,boxC
BD127,K16303,Aromatic,cmtAc
BD127,K16303,Xylene,cmtAc
BD127,K16319,Aminobenzoate,andAc
BD127,K18242,Naphthalene,nagG
BD127,K16320,Aminobenzoate,andAd
BD127,K18243,Naphthalene,nagH
BD127,K18199,Caprolactam,inhA
BD127,K18248,Aminobenzoate,andAb
BD129,K00074,Benzoate,paaH
BD129,K00121,Aromatic,frmA
BD129,K00121,Naphthalene,frmA
BD129,K00121,Cytochrome P450,frmA
BD129,K00121,Cl. alkane and Cl.alkene,frmA
BD129,K00128,Cl. alkane and Cl.alkene,ALDH
BD129,K00146,Styrene,feaB
BD129,K21802,Aminobenzoate,vdh
BD129,K00455,Aromatic,hpaD
BD129,K00481,Aromatic,pobA
BD129,K00481,Benzoate,pobA
BD129,K00626,Benzoate,ACAT
BD129,K00632,Benzoate,fadA
BD129,K00632,Ethylbenzene,fadA
BD129,K01034,Aminobenzoate,atoD
BD129,K01035,Aminobenzoate,atoA
BD129,K01101,Aminobenzoate,E3.1.3.41
BD129,K01426,Aminobenzoate,E3.5.1.4
BD129,K01426,Styrene,E3.5.1.4
BD129,K01428,Atrazine,ureC
BD129,K01429,Atrazine,ureB
BD129,K01430,Atrazine,ureA
BD129,K01512,Aminobenzoate,acyP
BD129,K01560,Cl. alkane and Cl.alkene,E3.8.1.2
BD129,K01560,Cl. cyclohexane and Cl. benzene,E3.8.1.2
BD129,K01612,Aromatic,bsdC
BD129,K01612,Aminobenzoate,bsdC
